instance family sat vbs lad supplementallad vf2 glasgow1 glasgow2 glasgow3 glasgow4
si6_m4D_m1296.02 5 1 47 2815 3583 47 172 259 584 1054
si6_m4D_m1296.07 5 1 724 8473 11045 1e8 1947 724 1001 1608
si6_m4D_m1296.05 5 1 34 2847 3698 34 208 280 554 1059
si6_m4D_m1296.09 5 1 814 9381 12400 1e8 1660 814 1242 1930
si6_m4D_m1296.00 5 1 911 275880 14902 1e8 3336 911 1330 1944
si6_m4D_m1296.08 5 1 42 3025 3583 42 130 270 534 1070
si6_m4D_m1296.04 5 1 32 2724 3467 32 125 276 531 1034
si6_m4D_m1296.06 5 1 897 11296 12679 1e8 4343 897 1425 2399
si6_m4D_m1296.01 5 1 587 10683 13697 1e8 847 587 951 1670
si6_m4D_m1296.03 5 1 5993 17428 22656 1e8 15250 6267 5993 6902
si6_r001_m200.05 7 1 6 043 013 56014639 53 6 13 41
si6_r001_m200.09 7 1 6 037 036 5891101 6 8 19 35
si6_r001_m200.07 7 1 2 005 008 1e8 2 8 12 61
si6_r001_m200.02 7 1 4 028 027 910213 4 6 14 37
si6_r001_m200.01 7 1 2 018 010 33097623 2 8 13 32
si6_r001_m200.00 7 1 2 010 008 1e8 2 5 13 32
si6_r001_m200.04 7 1 4 020 019 15857555 4 6 23 46
si6_r001_m200.06 7 1 2 005 004 1e8 2 10 14 58
si6_r001_m200.08 7 1 4 006 005 79560092 4 12 41 59
si6_r001_m200.03 7 1 4 026 012 1e8 4 6 20 32
si4_b06_m400.06 3 1 2 471 320 2 8 43 97 171
si4_b06_m400.07 3 1 2 486 309 2 8 42 96 172
si4_b06_m400.09 3 1 2 473 310 2 8 45 96 173
si4_b06_m400.01 3 1 2 477 310 2 8 42 96 172
si4_b06_m400.04 3 1 2 480 308 2 11 42 96 172
si4_b06_m400.03 3 1 2 491 308 2 15 42 96 172
si4_b06_m400.00 3 1 4 476 325 4 8 42 98 171
si4_b06_m400.05 3 1 2 477 309 2 8 59 103 171
si4_b06_m400.08 3 1 2 472 307 2 11 43 122 172
si4_b06_m400.02 3 1 2 497 309 2 8 72 97 281
si2_m4Dr6_m256.06 6 1 1 022 022 1 13 5 16 39
si2_m4Dr6_m256.05 6 1 1 016 011 1 2 5 16 37
si2_m4Dr6_m256.09 6 1 1 044 050 1 46 9 32 84
si2_m4Dr6_m256.00 6 1 2 023 027 2 17 17 27 70
si2_m4Dr6_m256.07 6 1 1 015 015 1 1 5 17 40
si2_m4Dr6_m256.04 6 1 1 023 006 1 3 9 24 63
si2_m4Dr6_m256.02 6 1 1 037 028 1 9 5 17 56
si2_m4Dr6_m256.01 6 1 1 026 011 1 4 5 14 36
si2_m4Dr6_m256.08 6 1 1 047 036 1 22 11 26 63
si2_m4Dr6_m256.03 6 1 1 029 008 1 3 9 15 39
si6_r01_m200.04 7 1 10 1446 1444 1e8 10 123 358 4448
si6_r01_m200.08 7 1 29 3396 1094 1e8 29 142 386 4530
si6_r01_m200.02 7 1 64 29005 4061 1e8 64 181 446 4620
si6_r01_m200.09 7 1 23 12916 7066 1e8 23 121 359 4413
si6_r01_m200.07 7 1 34 8121 9349 1e8 34 167 385 4511
si6_r01_m200.00 7 1 90 17650 12849 1e8 90 216 475 4681
si6_r01_m200.01 7 1 21 96726 840 1e8 21 150 368 4639
si6_r01_m200.03 7 1 306 58457 7521 1e8 306 486 817 4921
si6_r01_m200.05 7 1 73 64344 7699 1e8 73 201 464 4786
si6_r01_m200.06 7 1 43 39424 1395 1e8 43 170 384 4354
si2_b03m_m800.03 4 1 6 025 025 6 18 40 54 83
si2_b03m_m800.02 4 1 6 023 025 6 23 74 72 126
si2_b03m_m800.09 4 1 7 027 033 7 19 39 102 167
si2_b03m_m800.04 4 1 6 026 027 6 31 44 126 159
si2_b03m_m800.06 4 1 6 024 025 6 14 68 146 276
si2_b03m_m800.05 4 1 9 026 032 9 18 80 158 299
si2_b03m_m800.01 4 1 6 025 043 6 18 58 97 149
si2_b03m_m800.08 4 1 6 028 032 6 12 41 62 92
si2_b03m_m800.07 4 1 6 026 033 6 20 38 57 82
si2_b03m_m800.00 4 1 6 024 026 6 15 24 76 101
si2_r001_m200.06 7 1 1 016 012 12777121 1 4 6 13
si2_r001_m200.01 7 1 3 012 015 1e8 863 3 9 19
si2_r001_m200.02 7 1 6 016 021 1e8 253 28 6 14
si2_r001_m200.07 7 1 1 014 008 1396171 1 2 7 14
si2_r001_m200.04 7 1 2 009 009 3982149 222 2 9 20
si2_r001_m200.05 7 1 5 013 015 4730733 1e8 22 5 20
si2_r001_m200.09 7 1 1 010 011 1e8 1 4 5 12
si2_r001_m200.03 7 1 2 024 029 1e8 223426 2 9 14
si2_r001_m200.00 7 1 1 012 018 9665796 1 2 5 15
si2_r001_m200.08 7 1 4 015 018 1e8 557 4 5 13
si6_b03m_m800.01 4 1 11 076 072 11 47 70 204 374
si6_b03m_m800.08 4 1 11 075 078 11 46 70 330 449
si6_b03m_m800.03 4 1 15 075 074 15 65 108 154 317
si6_b03m_m800.00 4 1 12 082 072 12 61 114 212 337
si6_b03m_m800.04 4 1 12 089 080 12 62 108 146 200
si6_b03m_m800.05 4 1 10 081 077 10 48 107 229 289
si6_b03m_m800.07 4 1 10 075 078 10 47 105 203 285
si6_b03m_m800.06 4 1 10 072 075 10 98 106 155 313
si6_b03m_m800.09 4 1 9 073 074 9 73 72 151 701
si6_b03m_m800.02 4 1 10 072 074 10 63 113 205 458
si4_r005_m200.00 7 1 63 31255 6132 1e8 169 63 150 719
si4_r005_m200.08 7 1 12 8790 5141 1e8 12 33 98 481
si4_r005_m200.02 7 1 47 7087 245 1e8 143 47 163 477
si4_r005_m200.05 7 1 16 328 516 1e8 16 26 133 529
si4_r005_m200.06 7 1 12 221 191 1e8 12 26 95 633
si4_r005_m200.04 7 1 40 34325 3668 1e8 40 40 107 489
si4_r005_m200.07 7 1 20 12872 1953 1e8 20 34 105 492
si4_r005_m200.09 7 1 39 3794 7253 1e8 39 55 109 466
si4_r005_m200.01 7 1 5 10521 4202 1e8 5 33 92 459
si4_r005_m200.03 7 1 51 15482 296 1e8 58 51 121 478
si6_b09m_m400.03 4 1 5 047 043 5 12 43 145 477
si6_b09m_m400.07 4 1 5 047 044 5 15 54 250 691
si6_b09m_m400.00 4 1 5 049 041 5 12 83 168 546
si6_b09m_m400.04 4 1 5 048 040 5 12 108 348 977
si6_b09m_m400.06 4 1 5 048 041 5 18 44 174 481
si6_b09m_m400.08 4 1 5 048 038 5 19 88 278 869
si6_b09m_m400.02 4 1 5 048 039 5 12 94 286 1015
si6_b09m_m400.05 4 1 5 046 040 5 12 52 143 457
si6_b09m_m400.09 4 1 5 048 046 5 12 61 126 402
si6_b09m_m400.01 4 1 5 049 042 5 12 44 167 494
si2_b09_m200.08 3 1 0 047 043 0 1 9 22 58
si2_b09_m200.01 3 1 1 049 042 1 1 9 22 82
si2_b09_m200.06 3 1 0 048 040 0 2 12 22 51
si2_b09_m200.05 3 1 0 050 040 0 1 8 22 52
si2_b09_m200.00 3 1 0 048 041 0 2 13 23 51
si2_b09_m200.02 3 1 0 081 040 0 1 8 23 50
si2_b09_m200.03 3 1 1 048 043 1 1 8 22 50
si2_b09_m200.04 3 1 1 051 042 1 2 8 39 50
si2_b09_m200.09 3 1 1 065 044 1 1 14 22 51
si2_b09_m200.07 3 1 0 047 042 0 2 14 27 51
si6_r01_m600.02 7 1 3141 52864341 4231472 1e8 3141 6792 21482 1200005
si6_r01_m600.06 7 1 261 56811435 22524430 1e8 261 3256 17251 1207407
si6_r01_m600.09 7 1 11252 20206954 15264020 1e8 11252 17050 34091 1222595
si6_r01_m600.08 7 1 178269 19981146 10088938 1e8 178269 219085 277271 1514847
si6_r01_m600.05 7 1 321 4984289 2469703 1e8 321 3438 17395 1210417
si6_r01_m600.07 7 1 7779 37238221 31582538 1e8 7779 12400 27960 1176021
si6_r01_m600.03 7 1 3334 1e8 8396276 1e8 3334 7213 22124 1213752
si6_r01_m600.00 7 1 1768 31413225 22040112 1e8 1768 5423 19639 1211334
si6_r01_m600.01 7 1 1032 33384998 4724724 1e8 1032 4198 18294 1179139
si6_r01_m600.04 7 1 42088 29963646 3394387 1e8 42088 54613 79458 1274273
si2_b06_m200.02 3 1 0 036 024 0 1 6 14 25
si2_b06_m200.00 3 1 0 032 023 0 2 5 14 25
si2_b06_m200.01 3 1 1 032 026 1 1 5 13 29
si2_b06_m200.06 3 1 0 034 025 0 2 8 16 25
si2_b06_m200.09 3 1 0 035 033 0 2 5 18 25
si2_b06_m200.07 3 1 1 034 039 1 2 8 13 25
si2_b06_m200.04 3 1 0 035 026 0 1 6 23 24
si2_b06_m200.08 3 1 0 034 025 0 1 5 20 25
si2_b06_m200.03 3 1 1 036 025 1 2 5 13 44
si2_b06_m200.05 3 1 1 033 025 1 2 5 13 44
si6_m4Dr2_m1296.05 6 1 38 301 314 38 240 357 721 1580
si6_m4Dr2_m1296.09 6 1 39 1196 329 39 170 328 719 1710
si6_m4Dr2_m1296.01 6 1 38 316 307 38 210 497 1105 2671
si6_m4Dr2_m1296.06 6 1 38 340 353 38 164 753 1470 3649
si6_m4Dr2_m1296.07 6 1 39 539 623 39 165 349 766 1922
si6_m4Dr2_m1296.03 6 1 39 311 321 39 174 522 1142 2688
si6_m4Dr2_m1296.04 6 1 39 303 429 39 161 474 1893 3537
si6_m4Dr2_m1296.00 6 1 39 333 331 39 161 574 1396 3421
si6_m4Dr2_m1296.08 6 1 40 339 359 40 163 494 1096 2627
si6_m4Dr2_m1296.02 6 1 39 302 312 39 176 521 1062 2539
si2_b09m_m800.09 4 1 12 065 062 12 18 65 168 625
si2_b09m_m800.07 4 1 12 073 070 12 16 102 338 1209
si2_b09m_m800.00 4 1 12 085 057 12 19 59 188 667
si2_b09m_m800.04 4 1 12 064 060 12 15 107 291 984
si2_b09m_m800.02 4 1 17 074 059 19 17 130 401 1334
si2_b09m_m800.05 4 1 15 064 056 15 15 55 192 703
si2_b09m_m800.03 4 1 13 522 062 13 37 110 266 745
si2_b09m_m800.08 4 1 13 064 056 13 16 87 278 994
si2_b09m_m800.06 4 1 13 454 058 13 18 66 214 852
si2_b09m_m800.01 4 1 13 083 061 13 17 63 200 716
si4_b03_m400.01 3 1 1 229 300 1 6 18 33 60
si4_b03_m400.02 3 1 1 235 303 1 11 19 58 60
si4_b03_m400.05 3 1 1 233 315 1 8 20 34 60
si4_b03_m400.07 3 1 1 233 309 1 9 18 39 60
si4_b03_m400.06 3 1 3 231 304 3 11 18 33 63
si4_b03_m400.00 3 1 1 231 304 1 8 20 33 60
si4_b03_m400.03 3 1 3 233 311 3 6 32 33 60
si4_b03_m400.04 3 1 3 232 309 3 6 18 63 101
si4_b03_m400.09 3 1 1 237 321 1 9 24 35 102
si4_b03_m400.08 3 1 1 243 305 1 6 18 33 60
si2_b03_m200.05 3 1 0 014 022 0 1 2 5 8
si2_b03_m200.09 3 1 0 017 020 0 1 2 5 8
si2_b03_m200.07 3 1 0 015 020 0 1 2 9 10
si2_b03_m200.01 3 1 0 016 019 0 1 2 5 8
si2_b03_m200.08 3 1 0 016 019 0 1 5 5 15
si2_b03_m200.02 3 1 0 015 020 0 1 3 5 8
si2_b03_m200.04 3 1 0 018 020 0 1 3 9 11
si2_b03_m200.03 3 1 0 015 020 0 1 5 6 11
si2_b03_m200.06 3 1 0 015 019 0 1 2 7 15
si2_b03_m200.00 3 1 0 014 020 0 1 2 5 8
si4_r005_m600.00 7 1 2315 3953282 1135354 1e8 2315 3755 7192 92934
si4_r005_m600.02 7 1 1060 1937586 122221 1e8 1060 2725 5673 91169
si4_r005_m600.08 7 1 14783 807558 2231481 1e8 14783 18784 25285 114600
si4_r005_m600.05 7 1 4988 49187545 2780260 1e8 4988 6944 10970 97276
si4_r005_m600.07 7 1 2247 7124346 1454864 1e8 2247 4287 7295 92881
si4_r005_m600.06 7 1 9322 9065017 1375523 1e8 11375 9322 13842 101284
si4_r005_m600.01 7 1 1016 3783141 246374 1e8 1016 2335 5265 90156
si4_r005_m600.04 7 1 5111 1978291 2394480 1e8 5111 8170 11754 98454
si4_r005_m600.03 7 1 743 1403962 747464 1e8 743 2099 5085 91023
si4_r005_m600.09 7 1 173 3850655 38873 1e8 173 1125 4013 89087
si4_b09_m400.05 3 1 3 741 546 3 10 69 186 500
si4_b09_m400.03 3 1 3 743 547 3 10 71 179 361
si4_b09_m400.00 3 1 3 781 559 3 19 71 179 364
si4_b09_m400.07 3 1 3 706 549 3 19 69 292 362
si4_b09_m400.01 3 1 3 730 542 3 11 69 181 364
si4_b09_m400.06 3 1 3 753 547 3 11 70 180 361
si4_b09_m400.04 3 1 4 752 561 4 10 73 180 365
si4_b09_m400.02 3 1 4 710 595 4 10 96 179 370
si4_b09_m400.08 3 1 4 722 555 4 11 78 181 361
si4_b09_m400.09 3 1 3 691 560 3 11 69 181 457
si4_b06m_m400.06 4 1 3 035 016 3 6 16 93 164
si4_b06m_m400.03 4 1 4 020 019 4 6 20 41 114
si4_b06m_m400.01 4 1 4 020 018 4 6 51 129 343
si4_b06m_m400.08 4 1 4 021 018 4 8 34 72 199
si4_b06m_m400.05 4 1 4 021 018 4 11 66 104 270
si4_b06m_m400.07 4 1 4 022 018 4 6 24 49 131
si4_b06m_m400.00 4 1 4 020 021 4 6 46 68 179
si4_b06m_m400.04 4 1 3 021 018 3 6 19 63 125
si4_b06m_m400.09 4 1 3 017 018 3 6 31 59 155
si4_b06m_m400.02 4 1 3 020 018 3 7 39 133 289
si2_m4Dr2_m625.05 6 1 5 077 100 5 15 85 201 467
si2_m4Dr2_m625.00 6 1 6 223 292 6 155 32 116 267
si2_m4Dr2_m625.08 6 1 6 023 020 6 13 38 96 213
si2_m4Dr2_m625.09 6 1 5 081 101 5 9 41 102 237
si2_m4Dr2_m625.06 6 1 5 208 240 5 124 44 109 322
si2_m4Dr2_m625.04 6 1 7 458 211 7 18 27 83 153
si2_m4Dr2_m625.01 6 1 5 115 132 5 42 85 153 460
si2_m4Dr2_m625.03 6 1 7 183 077 7 247 28 57 139
si2_m4Dr2_m625.02 6 1 9 170 248 9 44 45 107 254
si2_m4Dr2_m625.07 6 1 5 100 107 5 9 23 53 132
si2_r005_m200.02 7 1 3 5947 707 1e8 3 10 42 346
si2_r005_m200.01 7 1 434 216261 14436 1e8 434 2970 3503 4276
si2_r005_m200.03 7 1 47 4436 2308 1e8 47 53 74 401
si2_r005_m200.05 7 1 2398 14597 338591 1e8 2398 7917 9039 10927
